1,的,1,54434
2,在,1,11979
3,一,1,11614
4,有,1,9686
5,是,1,9113
6,了,1,8427
7,這,1,7307
8,我,1,7243
9,個,1,6192
10,也,1,4983
11,他,1,4743
12,人,1,4731
13,為,1,4729
14,上,1,4541
15,與,1,4156
16,以,1,4089
17,到,1,3985
18,之,1,3870
19,中,1,3831
20,不,1,3652
21,就,1,3585
22,要,1,3531
23,你,1,3450
24,說,1,3443
25,和,1,3379
26,而,1,3260
27,會,1,3245
28,來,1,3172
29,都,1,3046
30,大,1,2929
31,對,1,2885
32,將,1,2787
33,及,1,2756
34,很,1,2661
35,多,1,2583
36,最,1,2577
37,著,1,2568
38,後,1,2515
39,時,1,2495
40,好,1,2458
41,於,1,2313
42,得,1,2235
43,年,1,2208
44,她,1,2173
45,我們,2,2159
46,下,1,2121
47,可以,2,2114
48,並,1,2101
49,那,1,2041
50,但,1,2035
51,還,1,1984
52,能,1,1960
53,可,1,1918
54,種,1,1898
55,所,1,1871
56,等,1,1859
57,看,1,1839
58,兩,1,1777
59,讓,1,1672
60,更,1,1651
61,只,1,1640
62,或,1,1629
63,地,1,1610
64,自己,2,1603
65,三,1,1597
66,每,1,1590
67,新,1,1547
68,出,1,1541
69,次,1,1533
70,沒有,2,1532
71,元,1,1510
72,從,1,1496
73,各,1,1475
74,被,1,1462
75,做,1,1428
76,去,1,1420
77,前,1,1418
78,些,1,1412
79,裡,1,1406
80,過,1,1406
81,再,1,1387
82,又,1,1385
83,用,1,1383
84,已,1,1340
85,他們,2,1308
86,由,1,1284
87,想,1,1276
88,此,1,1271
89,公司,2,1260
90,第,1,1260
91,因為,2,1250
92,位,1,1217
93,就是,2,1189
94,內,1,1187
95,才,1,1180
96,二,1,1173
97,高,1,1161
98,其,1,1149
99,工作,2,1142
100,把,1,1133
101,家,1,1126
102,本,1,1123
103,小,1,1120
104,您,1,1091
105,如果,2,1075
106,表示,2,1056
107,問題,2,1053
108,天,1,1052
109,外,1,1052
110,給,1,1045
111,台灣,2,1013
112,至,1,985
113,向,1,970
114,可能,2,969
115,卻,1,952
116,者,1,944
117,什麼,2,942
118,全,1,931
119,樣,1,919
120,時間,2,897
121,因此,2,887
122,當,1,885
123,則,1,880
124,不是,2,873
125,使,1,873
126,名,1,871
127,國,1,862
128,事,1,832
129,如,1,828
130,四,1,826
131,起,1,823
132,幾,1,821
133,該,1,811
134,點,1,809
135,所以,2,805
136,成,1,787
137,無,1,785
138,間,1,777
139,請,1,766
140,它,1,753
141,太,1,751
142,沒,1,746
143,方式,2,736
144,但是,2,735
145,電腦,2,730
146,美國,2,729
147,嗎,1,729
148,除,1,721
149,開始,2,721
150,不過,2,718
151,目前,2,712
152,項,1,711
153,生活,2,709
154,喜歡,2,687
155,像,1,684
156,第一,2,680
157,未,1,676
158,市場,2,670
159,因,1,670
160,提供,2,669
161,已經,2,663
162,妳,1,661
163,許多,2,657
164,使用,2,654
165,發展,2,651
166,比,1,646
167,呢,1,635
168,真,1,631
169,車,1,629
170,活動,2,628
171,日,1,627
172,現在,2,623
173,服務,2,622
174,希望,2,621
175,五,1,620
176,以及,2,620
177,月,1,609
178,走,1,608
179,心,1,604
180,產品,2,601
181,跟,1,601
182,打,1,598
183,較,1,597
184,政府,2,595
185,都是,2,595
186,不同,2,594
187,由於,2,592
188,還是,2,592
189,自,1,589
190,經濟,2,585
191,話,1,584
192,企業,2,582
193,投資,2,582
194,吃,1,581
195,認為,2,576
196,網路,2,568
197,設計,2,565
198,不會,2,561
199,必須,2,561
200,應,1,560
201,系統,2,559
202,社會,2,557
203,發現,2,557
204,而且,2,554
205,雖然,2,553
206,回,1,551
207,仍,1,548
208,作,1,545
209,也是,2,544
210,知道,2,541
211,時候,2,540
212,進行,2,535
213,即,1,533
214,日本,2,532
215,吧,1,531
216,另,1,530
217,如何,2,528
218,世界,2,527
219,其他,2,527
220,歲,1,526
221,啊,1,521
222,大家,2,517
223,先,1,516
224,方面,2,515
225,非常,2,511
226,十,1,510
227,數,1,509
228,問,1,508
229,無法,2,508
230,教育,2,506
231,曾,1,506
232,需要,2,506
233,電話,2,494
234,包括,2,493
235,同時,2,493
236,國家,2,487
237,今年,2,486
238,重要,2,485
239,影響,2,485
240,買,1,482
241,資料,2,480
242,錢,1,480
243,相當,2,479
244,場,1,479
245,指出,2,478
246,特別,2,476
247,受,1,475
248,分,1,474
249,處,1,472
250,人員,2,468
251,六,1,468
252,若,1,466
253,覺得,2,465
254,成為,2,464
255,朋友,2,464
256,開,1,461
257,對於,2,457
258,研究,2,457
259,不能,2,455
260,加,1,454
261,正,1,451
262,發生,2,450
263,一般,2,447
264,見,1,446
265,張,1,444
266,電影,2,440
267,學生,2,435
268,應該,2,435
269,便,1,434
270,一定,2,433
271,出現,2,433
272,甚至,2,430
273,先生,2,429
274,長,1,429
275,愛,1,426
276,找,1,424
277,主要,2,423
278,一樣,2,420
279,關係,2,417
280,文化,2,415
281,不要,2,414
282,一些,2,411
283,資訊,2,411
284,一直,2,408
285,只是,2,408
286,選擇,2,408
287,帶,1,407
288,美,1,406
289,未來,2,403
290,怎麼,2,403
291,環境,2,402
292,比較,2,399
293,決定,2,399
294,新聞,2,399
295,今天,2,395
296,令,1,395
297,結果,2,393
298,其中,2,392
299,起來,2,392
300,其實,2,390
301,水,1,389
302,部分,2,389
303,手,1,388
304,低,1,387
305,所有,2,387
306,約,1,387
307,相關,2,386
308,聽,1,385
309,近,1,384
310,地方,2,383
311,功能,2,382
312,組,1,382
313,放,1,379
314,快,1,378
315,增加,2,378
316,了解,2,377
317,任何,2,377
318,技術,2,377
319,住,1,376
320,當然,2,373
321,最後,2,372
322,之後,2,370
323,出來,2,370
324,機會,2,370
325,那麼,2,369
326,難,1,369
327,早,1,369
328,身,1,366
329,一起,2,365
330,可是,2,363
331,要求,2,363
332,軟體,2,363
333,連,1,362
334,是否,2,361
335,參加,2,361
336,同,1,360
337,別,1,358
338,常,1,358
339,叫,1,356
340,少,1,354
341,送,1,353
342,片,1,351
343,亦,1,351
344,內容,2,350
345,達,1,349
346,件,1,348
347,處理,2,348
348,總,1,346
349,地區,2,345
350,老,1,345
351,言,1,345
352,音樂,2,345
353,造成,2,345
354,部,1,344
355,進,1,344
356,死,1,343
357,大陸,2,340
358,告訴,2,339
359,類,1,339
360,利用,2,338
361,行,1,337
362,管理,2,337
363,整,1,337
364,空間,2,336
365,國際,2,335
366,誰,1,335
367,完全,2,334
368,段,1,334
369,過去,2,334
370,表現,2,332
371,書,1,332
372,頭,1,331
373,昨日,2,330
374,經,1,330
375,哪,1,329
376,邊,1,328
377,政治,2,327
378,計畫,2,326
379,員工,2,325
380,極,1,325
381,半,1,324
382,完成,2,324
383,條,1,324
384,廣告,2,324
385,期,1,323
386,代表,2,322
387,往,1,322
388,學習,2,322
389,道,1,321
390,如此,2,320
391,去年,2,319
392,且,1,318
393,股票,2,317
394,非,1,317
395,接受,2,317
396,台,1,316
397,愈,1,316
398,科技,2,314
399,昨天,2,313
400,寫,1,313
401,區,1,312
402,中共,2,310
403,民眾,2,310
404,能夠,2,310
405,個人,2,309
406,然後,2,309
407,孩子,2,307
408,某,1,307
409,當時,2,306
410,節目,2,306
411,情況,2,305
412,經營,2,305
413,佳,1,304
414,首,1,302
415,總統,2,302
416,量,1,299
417,經驗,2,299
418,價格,2,299
419,聲,1,299
420,自然,2,298
421,具,1,297
422,東西,2,296
423,注意,2,295
424,報導,2,295
425,臺灣,2,295
426,玩,1,294
427,重,1,291
428,坐,1,290
429,感覺,2,289
430,隨,1,289
431,電視,2,287
432,另外,2,286
433,香港,2,286
434,國內,2,286
435,成長,2,286
436,七,1,285
437,作品,2,284
438,花,1,284
439,品質,2,283
440,站,1,282
441,完,1,282
442,安全,2,281
443,轉,1,281
444,容易,2,280
445,接,1,280
446,學,1,280
447,推出,2,279
448,變,1,279
449,股,1,278
450,型,1,278
451,這麼,2,278
452,圖,1,278
453,台北,2,277
454,產生,2,277
455,學校,2,277
456,今,1,276
457,透過,2,275
458,準備,2,275
459,合作,2,274
460,遊戲,2,273
461,需,1,273
462,原,1,272
463,依,1,271
464,拿,1,269
465,看到,2,268
466,藝術,2,268
467,中國,2,267
468,方法,2,267
469,成立,2,267
470,至於,2,267
471,或是,2,267
472,啦,1,267
473,提出,2,267
474,過程,2,267
475,裏,1,266
476,目標,2,265
477,專業,2,265
478,八,1,263
479,進入,2,263
480,越,1,262
481,入,1,260
482,解決,2,260
483,為什麼,3,258
484,媒體,2,258
485,銀行,2,258
486,選舉,2,257
487,生,1,256
488,業者,2,256
489,小時,2,255
490,共,1,254
